,0
0,"
    (bkz: beyin göçü)(bkz: kavimler göçü)
  "
1,"
    2015-2021 arası zirve yapmıştır. ama asıl bundan sonra görün diyorum. çünkü fakülteye girer girmez almanca kursuna giden öğrencilerin mezuniyetinde göreceksiniz asıl göçü tabii almanya bir dur demezse.
  "
2,"
https://www.bbc.com/…rkce/haberler-turkiye-59657943
"
3,"
    (bkz: mesleki iyi hal belgesi) haber linki
"
4,"
    son zamanlarda ciddi ciddi hekimlik gruplarında tartışılan ve avrupa ülkeleri kadar arap ülkelerinin de listede olduğu durum. yoksulluk sınırının bu kadar arttığı, geçinmenin zor olduğu bu toplumda toplumun göz bebeği gibi görünen hekimler de ümidi kestiyse işler çok daha vahim. ilerde yakınlarımızı emanet edebileceğimiz doktor illaki buluruz her şehre tıp fakültesi açan bu sağlık yönetimi anlayışıyla ama nitelikli bi doktor bulmak gerçekten çok zor olacak.
  "
5,"
    hekimlerin toplu şekilde, daha yüksek gelir elde edebileceği ülkelere taşınmak istemesi hareketi.
  "
6,"
    sağcı solcu farketmeyen hekim düşmanından oluşan mevcut güzelim ülkemizde ,halkın çok yakında başlatacağı durumdur.sağlık sisteminde karşılaştığı her sorunu doktora yoran , doktorun da insan olmasini umursamayip kendine gece gunduz hizmet edecek hizmetçi sananlara karşı verilecek en iyi cevap .siz sanıyorsunuz ki kaliteli insanlar burada kalacak.(aile vs sebepleri ile illaki gidemeyenler olacak )ama çoğu kalacak olanları söyleyeyim.yonetimin her şehre tıp fakültesi açması nedeni ile doğru düzgün imkanları olmayan yerlerden mezun olmuş yeni doktorlar,köklü universite olup hoca bırakılmayan kapasitesinin çok çok üzerinde öğrenci almış olup bunları egitemeyen üniversitelerden mezun olacak yüzlerce doktor...şimdiden hayırlı olsun hekim dusmani ülkeye yeni sağlık sistemi
  "
7,"
    2022 temmuz ayında 231 hekim tabipler odasından iyi hal belgesi almış. rakamlar sizi olayın ciddiyetinden uzaklaştırmasın.ülke değiştirme, başka bir ülkeye göç etme basit işler değil. bunu göze alabilecek hekimler sıradan her yerde bulabileceğiniz hekimler değil. devlet hastanelerinde varlığı - yokluğu bir onbinlerce ""memurdan"" farklılar yani. bu hekimleri çok ararsınız.
  "
8,"
    tam gaza gelip ""varsın gidiyorlarsa gitsinler, bizler de üniversiteleri yeni bitiren doktorlarımızı istihdam ederiz"" diyecektim ki, aklıma geçen gün yeni mezun olmuş pratisyen hekimin iş bilmezliği geldi. kızcağıza yazacağı ilaçlar için ben yardımcı oldum..30 yıllık tecrübeli beyin cerrahı, kardiyoloji, kalp damar cerrahı, çocuk cerrahı, nükleer tıp uzmanları, plastik ve estetik cerrahlarının yerini yeni mezun doktorların alacağını düşündüm ve kanım dondu! onun için ""varsın gitmesinler!""
  "
9,"
    olağan bir göçtür. türkiye'de çalışmayacaklarsa bir zahmet tıp fakültesi seçmesinler. en baştan devletin şart koşması lazım. 20 sene kamuda çalışacak olanlar tercih etsin diye. gerçekten amacım doktor düşmanlığı değil. bu konu hayati bir konu. öyle kaprise popülizme gelmez. doktorun da anası babası ailesi var ve onlarda hastalanıp devlet hastanesinde acil bir cerraha ihtiyaç duyabilirler. bulamazlarsa ne olacak? ameliyatınızı yapamıyoruz, tüm cerrahlar özele geçti mi denecek hastalara?bak kardeşim. puandan, netten daha önemli bir kriter var. ne biliyor musun? bu işte çalışmayacaksan etiket ve maaş için seçme tıbbı.. yurtdışında çalışacaksan oradaki üniversitelerde oku parayı bastırıp. yok öyle dünya. hekime şiddet ve angarya gibi çalışma saatleri konusunda haklılar. ama devletin imkanlarıyla başkalarının önüne geçerek okuyup sonra ben özele veya yurtdışına geçiyorum demek olmaz. en baştan sözleşme imzalanmalı.
  "
